+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                      ;
+----------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                  ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; my_qsys|sw_wrapper_0|sw_core|PEs[16].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[15].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[14].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[13].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[12].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[11].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[10].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[9].u_PE_single                            ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[8].u_PE_single                            ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[7].u_PE_single                            ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[6].u_PE_single                            ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[5].u_PE_single                            ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[4].u_PE_single                            ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[3].u_PE_single                            ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[2].u_PE_single                            ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[1].u_PE_single                            ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[0].u_PE_single                            ; 88    ; 50             ; 0            ; 50             ; 43     ; 50              ; 50            ; 50              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core                                               ; 532   ; 16             ; 0            ; 16             ; 26     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0                                                       ; 35    ; 24             ; 24           ; 24             ; 39     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys                                                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+----------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
